species,M,K
Pacific bluefin tuna,-3.522878745,0.656098202
Pacific bluefin tuna,-3.301029996,1.131105162
Pacific bluefin tuna,-3.301029996,1.025879083
Pacific bluefin tuna,-3.301029996,0.792671789
Pacific bluefin tuna,-2.958607315,1.351255034
Pacific bluefin tuna,-2.48148606,0.758609143
Pacific bluefin tuna,-2.48148606,0.88570038
Pacific bluefin tuna,-2.468521083,0.862012051
Pacific bluefin tuna,-2.366531544,0.261024834
Pacific bluefin tuna,-2.301029996,0.158362492
Pacific bluefin tuna,-2.27572413,0.246498581
Pacific bluefin tuna,-2.22184875,0.772468403
Pacific bluefin tuna,-2.008773924,0.170848204
Pacific bluefin tuna,-1.920818754,0.315970345
Pacific bluefin tuna,-1.785156152,0.433289685
Pacific bluefin tuna,-1.754487332,0.079181246
Pacific bluefin tuna,-1.524328812,0.021189299
Alewife,-1.503070352,0.012837225
Pacific bluefin tuna,-1.477555766,-0.131943638
Pacific bluefin tuna,-1.407823243,-0.458420756
Pacific bluefin tuna,-1.399027104,-0.465973894
Pacific bluefin tuna,-1.116906641,-0.53165267
Pacific bluefin tuna,-1.070581074,-0.200659451
Pacific bluefin tuna,-1.013676223,-0.588380294
Pacific bluefin tuna,-0.982966661,-0.690369833
Pacific bluefin tuna,-0.844663963,-0.568636236
Pacific bluefin tuna,-0.787812396,-0.860120914
Pacific bluefin tuna,-0.782516056,-0.665546249
Pacific bluefin tuna,-0.772113295,-0.358525889
Pacific bluefin tuna,-0.769551079,-0.790484985
Pacific bluefin tuna,-0.764471553,-0.395773947
Pacific bluefin tuna,-0.735182177,-0.759450752
Pacific bluefin tuna,-0.68613278,-0.677780705
Rainbow trout,-0.510041521,-1.045757491
Smallmouth bass,-0.49757288,-0.795880017
Largemouth bass,-0.288192771,-0.785421046
White sucker,-0.246416941,-0.619788758
Pacific bluefin tuna,-0.210419288,-1.045757491
Brook trout,-0.167491087,-0.853871964
Largemouth bass,-0.075204004,-0.955852379
Pacific bluefin tuna,-0.058488567,-1.180456064
Pacific bluefin tuna,-0.040958608,-1.318758763
Largemouth bass,0.093071306,-0.999565923
Dolphinfish,0.113943352,-0.730487056
Largemouth bass,0.209515015,-1.031050319
Largemouth bass,0.21031852,-1.078313525
Largemouth bass,0.248463718,-1.13430394
Largemouth bass,0.261024834,-1.269217724
Brown trout,0.379323651,-1.045757491
Largemouth bass,0.432969291,-1.252588192
Chum salmon,0.447158031,-1.051587034
Dolphinfish,0.491361694,-0.920818754
Carp,0.546666025,-1.397940009
Lake trout,0.556362815,-1.397940009
Pacific bluefin tuna,0.568201724,-1.37675071
Pacific bluefin tuna,0.579783597,-1.619788758
Pacific bluefin tuna,0.591064607,-1.017728767
Pacific bluefin tuna,0.602059991,-1.180440272
Pacific bluefin tuna,0.602059991,-1.51203626
Pacific bluefin tuna,0.602059991,-1.448984514
Pacific bluefin tuna,0.602059991,-1.370455852
Pacific bluefin tuna,0.602059991,-1.501606731
Pacific bluefin tuna,0.62324929,-1.409135883
Pacific bluefin tuna,0.643452676,-1.252927058
Pacific bluefin tuna,0.643452676,-1.399719915
Pacific bluefin tuna,0.643452676,-1.441229049
Mako shark,0.698100546,-1.318758763
Pacific bluefin tuna,0.716003344,-1.518110407
Pacific bluefin tuna,0.73239376,-1.584038921
Pacific bluefin tuna,0.73239376,-1.327976071
Pacific bluefin tuna,0.785329835,-1.467638064
Mako shark,0.837588438,-1.301029996
Pacific bluefin tuna,0.84509804,-1.558128983
Bigeye tuna,0.86332286,-1.504178247
Pacific bluefin tuna,0.919078092,-1.551472999
Pacific bluefin tuna,0.924279286,-1.494307493
Mako shark,1.027757205,-1.292429824
Mako shark,1.03702788,-1.48148606
Pacific bluefin tuna,1.06069784,-1.971428747
Pacific bluefin tuna,1.096910013,-1.460883737
Pacific bluefin tuna,1.120573931,-1.688127519
Mako shark,1.134177108,-1.337242168
Pacific bluefin tuna,1.439332694,-1.778304149
Swordfish,1.505149978,-2.180456064
Ocean sunfish,1.785329835,-2.205511953
Pacific bluefin tuna,1.785329835,-2.158515391
Pacific bluefin tuna,1.812913357,-2.165248773
Pacific bluefin tuna,1.832508913,-2.466278769
Swordfish,1.959041392,-2.27572413
Blue shark,1.995635195,-2.301029996
Ocean sunfish,2.012837225,-2.363512104
Swordfish,2.037426498,-1.913640169
Swordfish,2.037426498,-2.318758763
Swordfish,2.037426498,-2.27572413
Atlantic bluefin tuna,2.068185862,-2.642065153
Swordfish,2.103803721,-2.431798276
Swordfish,2.133538908,-2.508638306
Swordfish,2.146128036,-2.48148606
Atlantic bluefin tuna,2.204119983,-2.619788758
Atlantic bluefin tuna,2.397940009,-2.698970004
Atlantic bluefin tuna,2.397940009,-2.853871964
Ocean sunfish,2.556302501,-2.663540266
Whale shark,2.903089987,-2.916855857
Whale shark,3.176091259,-2.717604495
Whale shark,3.204119983,-2.484656107
